G-01,K,11
G-01,M,12
G-01,L,13
G-01,T,15
G-01,S,16
G-02,K,21
G-02,M,22
G-02,L,23
G-02,T,25
G-02,S,26
G-03,K,31
G-03,M,32
G-03,L,33
G-03,T,35
G-03,S,36
G-04,K,41
G-04,M,42
G-04,L,43
G-04,T,45
G-04,S,46
G-05,K,51
G-05,M,52
G-05,L,53
G-05,T,55
G-05,S,56
G-06,K,61
G-06,M,62
G-06,L,63
G-06,T,65
G-06,S,66
G-07,K,71
G-07,M,72
G-07,L,73
G-07,T,75
G-07,S,76
G-08,K,81
G-08,M,82
G-08,L,83
G-08,T,85
G-08,S,86
G-09,K,91
G-09,M,92
G-09,L,93
G-09,T,95
G-09,S,96
EMEF,-90,201
EMEF,-75,202
EMEF,-60,203
EMEF,-45,204
EMEF,-30,205
EMEF,-15,206
EMEF,0,207
EMEF,15,211
EMEF,30,212
EMEF,45,213
EMEF,60,214
EMEF,75,215
EMEF,90,216
EMEF,-90L,231
EMEF,-75L,232
EMEF,-60L,233
EMEF,-45L,234
EMEF,-30L,235
EMEF,-15L,236
EMEF,0L,237
EMEF,15L,241
EMEF,30L,242
EMEF,45L,243
EMEF,60L,244
EMEF,75L,245
EMEF,90L,246
EMEF,S30,261
EMEF,S60,262
EMEF,S75,263
EMEF,S30I,271
EMEF,S60I,272
EMEF,S75I,273
EMEF,SV,265
EMEF,SH,266
EMEF,SVI,275
EMEF,SHI,276
EMEF,T30,281
EMEF,T60,282
EMEF,T75,283
EMEF,T30I,291
EMEF,T60I,292
EMEF,T75I,293
EMEF,TV,285
EMEF,TH,286
EMEF,TVI,295
EMEF,THI,296
WMWF,-90,301
WMWF,-75,302
WMWF,-60,303
WMWF,-45,304
WMWF,-30,305
WMWF,-15,306
WMWF,0,307
WMWF,15,311
WMWF,30,312
WMWF,45,313
WMWF,60,314
WMWF,75,315
WMWF,90,316
WMWF,-90L,331
WMWF,-75L,332
WMWF,-60L,333
WMWF,-45L,334
WMWF,-30L,335
WMWF,-15L,336
WMWF,0L,337
WMWF,15L,341
WMWF,30L,342
WMWF,45L,343
WMWF,60L,344
WMWF,75L,345
WMWF,90L,346
WMWF,S30,361
WMWF,S60,362
WMWF,S75,363
WMWF,S30I,371
WMWF,S60I,372
WMWF,S75I,373
WMWF,SV,365
WMWF,SH,366
WMWF,SVI,375
WMWF,SHI,376
WMWF,T30,381
WMWF,T60,382
WMWF,T75,383
WMWF,T30I,391
WMWF,T60I,392
WMWF,T75I,393
WMWF,TV,385
WMWF,TH,386
WMWF,TVI,395
WMWF,THI,396
S-01,S13,411
S-01,S15,412
S-01,S110,413
S-01,S33,414
S-01,S35,415
S-01,S310,416
S-01,S53,421
S-01,S55,422
S-01,S510,423
S-01,S1T,424
S-01,S3T,425
S-01,S5T,426
S-01,SS,427
S-02,S13,431
S-02,S15,432
S-02,S110,433
S-02,S33,434
S-02,S35,435
S-02,S310,436
S-02,S53,441
S-02,S55,442
S-02,S510,443
S-02,S1T,444
S-02,S3T,445
S-02,S5T,446
S-02,SS,447
S-03,S13,451
S-03,S15,452
S-03,S110,453
S-03,S33,454
S-03,S35,455
S-03,S310,456
S-03,S53,461
S-03,S55,462
S-03,S510,463
S-03,S1T,464
S-03,S3T,465
S-03,S5T,466
S-03,SS,467
S-04,S13,471
S-04,S15,472
S-04,S110,473
S-04,S33,474
S-04,S35,475
S-04,S310,476
S-04,S53,481
S-04,S55,482
S-04,S510,483
S-04,S1T,484
S-04,S3T,485
S-04,S5T,486
S-04,SS,487
